dia;hora_minuto;registrador;tipo_estimado;valor_clp
2026-07-21;17:59;581;UINT16/CONTADOR ou INT16_POSITIVO;104
2026-07-21;17:59;586;UINT16/CONTADOR ou INT16_POSITIVO;467
2026-07-21;17:59;1008;INT16;65504
2026-07-21;17:59;1009;UINT16/CONTADOR ou INT16_POSITIVO;472
2026-07-21;17:59;1010;INT16;0
2026-07-21;17:59;1011;UINT16/CONTADOR ou INT16_POSITIVO;584
2026-07-21;17:59;1050;UINT16/CONTADOR ou INT16_POSITIVO;1024
2026-07-21;17:59;1052;UINT16/CONTADOR ou INT16_POSITIVO;105
2026-07-21;17:59;326;UINT16/CONTADOR ou INT16_POSITIVO;0
2026-07-21;17:59;354;UINT16/CONTADOR ou INT16_POSITIVO;467
2026-07-21;17:59;382;UINT16/CONTADOR ou INT16_POSITIVO;13568
2026-07-21;17:59;1008;UINT16;65496
2026-07-21;17:59;1009;INT16/UINT16_AMBIGUO;464
2026-07-21;17:59;1010;INT16;65528
2026-07-21;17:59;1011;INT16/UINT16_AMBIGUO;576
2026-07-21;17:59;1016;UINT16/CONTADOR ou INT16_POSITIVO;342
2026-07-21;17:59;1050;INT16/UINT16_AMBIGUO;16384
2026-07-21;17:59;1052;INT16/UINT16_AMBIGUO;104
2026-07-21;17:59;323;BYTE/ENUM/BITFIELD;78
2026-07-21;17:59;326;INT16/UINT16_AMBIGUO;200
2026-07-21;17:59;328;BYTE/ENUM/BITFIELD;5
2026-07-21;17:59;354;UINT16/CONTADOR ou INT16_POSITIVO;468
2026-07-21;17:59;381;UINT16/CONTADOR ou INT16_POSITIVO;7424
2026-07-21;17:59;382;INT16/UINT16_AMBIGUO;1536
2026-07-21;17:59;500;BYTE/ENUM/BITFIELD;5
2026-07-21;17:59;506;UINT16/CONTADOR ou INT16_POSITIVO;289
2026-07-21;17:59;586;UINT16/CONTADOR ou INT16_POSITIVO;468
2026-07-21;17:59;587;BYTE/ENUM/BITFIELD;78
2026-07-21;17:59;589;BYTE/ENUM/BITFIELD;5
2026-07-21;17:59;1008;UINT16;65488
2026-07-21;17:59;1009;INT16/UINT16_AMBIGUO;456
2026-07-21;17:59;1010;INT16;65520
2026-07-21;17:59;1011;INT16/UINT16_AMBIGUO;568
2026-07-21;17:59;1016;INT16/UINT16_AMBIGUO;346
2026-07-21;17:59;1050;INT16/UINT16_AMBIGUO;0
2026-07-21;17:59;1052;INT16/UINT16_AMBIGUO;102
2026-07-21;17:59;315;UINT16/CONTADOR ou INT16_POSITIVO;40
2026-07-21;17:59;323;BYTE/ENUM/BITFIELD;77
2026-07-21;17:59;338;BYTE/ENUM/BITFIELD;14
2026-07-21;17:59;354;INT16/UINT16_AMBIGUO;466
2026-07-21;17:59;382;INT16/UINT16_AMBIGUO;4864
2026-07-21;17:59;525;UINT16/CONTADOR ou INT16_POSITIVO;1292
2026-07-21;17:59;526;UINT16/CONTADOR ou INT16_POSITIVO;3103
2026-07-21;17:59;527;UINT16/CONTADOR ou INT16_POSITIVO;378
2026-07-21;17:59;528;BYTE/ENUM/BITFIELD;147
2026-07-21;17:59;581;INT16/UINT16_AMBIGUO;100
2026-07-21;17:59;586;INT16/UINT16_AMBIGUO;466
2026-07-21;17:59;587;BYTE/ENUM/BITFIELD;77
2026-07-21;17:59;596;BYTE/ENUM/BITFIELD;14
2026-07-21;18:00;978;BYTE/ENUM/BITFIELD;5
2026-07-21;18:00;1008;UINT16;65496
2026-07-21;18:00;1009;INT16/UINT16_AMBIGUO;464
2026-07-21;18:00;1010;INT16;65528
2026-07-21;18:00;1011;INT16/UINT16_AMBIGUO;576
2026-07-21;18:00;1016;INT16/UINT16_AMBIGUO;347
2026-07-21;18:00;1050;INT16/UINT16_AMBIGUO;17408
2026-07-21;18:00;1052;INT16/UINT16_AMBIGUO;104
2026-07-21;18:00;315;INT16/UINT16_AMBIGUO;39
2026-07-21;18:00;326;INT16/UINT16_AMBIGUO;0
2026-07-21;18:00;354;INT16/UINT16_AMBIGUO;465
2026-07-21;18:00;382;INT16/UINT16_AMBIGUO;8192
2026-07-21;18:00;435;UINT16/CONTADOR ou INT16_POSITIVO;105
2026-07-21;18:00;581;INT16/UINT16_AMBIGUO;107
2026-07-21;18:00;582;UINT16/CONTADOR ou INT16_POSITIVO;40
2026-07-21;18:00;586;INT16/UINT16_AMBIGUO;465
2026-07-21;18:00;1008;UINT16;65488
2026-07-21;18:00;1010;UINT16;65520
2026-07-21;18:00;1016;INT16/UINT16_AMBIGUO;346
2026-07-21;18:00;1050;INT16/UINT16_AMBIGUO;1024
2026-07-21;18:00;326;INT16/UINT16_AMBIGUO;100
2026-07-21;18:00;354;INT16/UINT16_AMBIGUO;467
2026-07-21;18:00;382;INT16/UINT16_AMBIGUO;11520
2026-07-21;18:00;435;INT16/UINT16_AMBIGUO;100
2026-07-21;18:00;1008;UINT16;65496
2026-07-21;18:00;1010;UINT16;65528
2026-07-21;18:00;1016;INT16/UINT16_AMBIGUO;341
2026-07-21;18:00;1050;INT16/UINT16_AMBIGUO;16384
2026-07-21;18:00;326;INT16/UINT16_AMBIGUO;200
2026-07-21;18:00;354;INT16/UINT16_AMBIGUO;465
2026-07-21;18:00;382;INT16/UINT16_AMBIGUO;14848
2026-07-21;18:00;435;INT16/UINT16_AMBIGUO;102
2026-07-21;18:00;581;INT16/UINT16_AMBIGUO;104
2026-07-21;18:00;582;INT16/UINT16_AMBIGUO;39
2026-07-21;18:00;1008;UINT16;65480
2026-07-21;18:00;1009;INT16/UINT16_AMBIGUO;456
2026-07-21;18:00;1010;UINT16;65512
2026-07-21;18:00;1011;INT16/UINT16_AMBIGUO;568
2026-07-21;18:00;1016;INT16/UINT16_AMBIGUO;338
2026-07-21;18:00;1050;INT16/UINT16_AMBIGUO;0
2026-07-21;18:00;1052;INT16/UINT16_AMBIGUO;102
2026-07-21;18:00;326;INT16/UINT16_AMBIGUO;0
2026-07-21;18:00;354;INT16/UINT16_AMBIGUO;466
2026-07-21;18:00;381;UINT16/CONTADOR ou INT16_POSITIVO;7680
2026-07-21;18:00;382;INT16/UINT16_AMBIGUO;2816
2026-07-21;18:01;315;INT16/UINT16_AMBIGUO;40
2026-07-21;18:01;326;INT16/UINT16_AMBIGUO;100
2026-07-21;18:01;328;BYTE/ENUM/BITFIELD;6
2026-07-21;18:01;354;INT16/UINT16_AMBIGUO;464
2026-07-21;18:01;382;INT16/UINT16_AMBIGUO;10752
2026-07-21;18:01;500;BYTE/ENUM/BITFIELD;6
2026-07-21;18:01;506;UINT16/CONTADOR ou INT16_POSITIVO;290
2026-07-21;18:01;525;INT16/UINT16_AMBIGUO;1289
2026-07-21;18:01;526;INT16/UINT16_AMBIGUO;3110
2026-07-21;18:01;527;INT16/UINT16_AMBIGUO;379
2026-07-21;18:01;528;INT16/UINT16_AMBIGUO;148
2026-07-21;18:01;582;INT16/UINT16_AMBIGUO;40
2026-07-21;18:01;586;INT16/UINT16_AMBIGUO;461
2026-07-21;18:01;587;BYTE/ENUM/BITFIELD;76
2026-07-21;18:01;589;BYTE/ENUM/BITFIELD;6
2026-07-21;18:01;689;BYTE/ENUM/BITFIELD;121
2026-07-21;18:01;1008;UINT16;65488
2026-07-21;18:01;1010;UINT16;65520
2026-07-21;18:01;1016;INT16/UINT16_AMBIGUO;341
2026-07-21;18:01;315;INT16/UINT16_AMBIGUO;39
2026-07-21;18:01;323;BYTE/ENUM/BITFIELD;76
2026-07-21;18:01;326;INT16/UINT16_AMBIGUO;200
2026-07-21;18:01;354;INT16/UINT16_AMBIGUO;461
2026-07-21;18:01;382;INT16/UINT16_AMBIGUO;14080
2026-07-21;18:01;581;INT16/UINT16_AMBIGUO;101
2026-07-21;18:01;582;INT16/UINT16_AMBIGUO;39
2026-07-21;18:01;978;BYTE/ENUM/BITFIELD;6
2026-07-21;18:01;1008;UINT16;65496
2026-07-21;18:01;1009;INT16/UINT16_AMBIGUO;464
2026-07-21;18:01;1010;UINT16;65528
2026-07-21;18:01;1011;INT16/UINT16_AMBIGUO;576
2026-07-21;18:01;1016;INT16/UINT16_AMBIGUO;343
2026-07-21;18:01;1050;INT16/UINT16_AMBIGUO;17408
2026-07-21;18:01;1052;INT16/UINT16_AMBIGUO;104
2026-07-21;18:01;315;INT16/UINT16_AMBIGUO;40
2026-07-21;18:01;326;INT16/UINT16_AMBIGUO;100
2026-07-21;18:01;354;INT16/UINT16_AMBIGUO;460
2026-07-21;18:01;381;UINT16/CONTADOR ou INT16_POSITIVO;7936
2026-07-21;18:01;382;INT16/UINT16_AMBIGUO;2304
2026-07-21;18:01;525;INT16/UINT16_AMBIGUO;1288
2026-07-21;18:01;526;INT16/UINT16_AMBIGUO;3112
2026-07-21;18:01;527;INT16/UINT16_AMBIGUO;376
2026-07-21;18:01;528;INT16/UINT16_AMBIGUO;146
2026-07-21;18:01;581;INT16/UINT16_AMBIGUO;102
2026-07-21;18:01;586;INT16/UINT16_AMBIGUO;460
2026-07-21;18:01;1008;UINT16;65504
2026-07-21;18:01;1010;UINT16;0
2026-07-21;18:01;1016;INT16/UINT16_AMBIGUO;337
